PAZAR ADI;ESNAF SAYISI;KURULUS GUNU;KURULDUGU YER
İstasyon Mahallesi Semt Pazarı;51;Pazartesi;İstasyon Mahallesi Hacıoğlu Sokak üzerinde
Mimarsinan Mahallesi Semt Pazarı;55;Pazartesi;Mimarsinan Mahallesi Kömürcü Sokak üzerinde
Aydınlı Mahallesi Semt Pazarı;73;Salı;Aydınlı Mahallesi Gülçin ve Göktepe Sokak arasında kalan  8499/1 ve 147 parsel üzerinde
Aydıntepe Mahallesi Semt Pazarı;159;Çarşamba;Aydıntepe Mahallesi Yeşildere Caddesi, Girne Sokak ve Berkant Sokak üzerinde
Orta mahalle Semt Pazarı;29;Çarşamba;Orta Mahalle Polina Sokak, Mümtaz Sokak ile Yeniçağ Sokak arasındaki alan üzerinde
Yayla Mahallesi Semt Pazarı;98;Perşembe;Yayla Mahallesi Cengiz Topel Caddesi üzerinde
Şifa Mahallesi Semt Pazarı;136;Perşembe;Şifa Mahallesi Fatih Caddesi üzerinde
Tepeören Mahallesi Semt Pazarı;8;Perşembe;Tepeören Mahallesi Teyfik Sokak üzerinde
Mescit Mahallesi Semt Pazarı;64;Cuma;Mescit Mahallesi Başaran Sokak üzerinde
İçmeler Mahallesi Semt Pazarı;56;Cumartesi;İçmeler Mahallesi Fırat Sokak üzerinde
Evliya Çelebi Mahallesi Semt Pazarı;33;Cumartesi;Evliya çelebi Mahallesi Gülenay Sokak üzerinde
Aydınlı (Toki) Mahallesi Semt Pazarı;42;Cumartesi;Aydınlı Mahallesi, Toki alanında Gökberk Sokak ve Erdemli Sokak arasında kalan 8570/1 ada parsel numaralı arsa ve bitişik kadostral boşluk alan üzerinde
Postane Mahallesi Semt Pazarı;118;Pazar;Postane Mahallesi Barbaros Hayrettin Caddesi üzerinde 
Aydınlı (Konaşlı) Mahallesi Semt Pazarı;39;Pazar;Aydınlı Mahallesi Konaşlı mevkii Menekşe Sokak üzerinde 
